1,0
1,0
11,1
21,0
31,1
41,1
51,1
61,2
71,1
81,2
91,3
101,2
111,3
121,3
131,3
141,3
151,4
161,4
171,4
181,5
191,4
201,5
211,6
221,5
231,6
241,6
251,6
261,6
271,7
281,7
291,7
301,7
1,0
26,1
51,1
76,2
101,3
126,3
151,3
176,5
201,5
226,5
251,6
276,7
301,7
326,7
351,9
376,9
401,9
426,10
451,11
476,11
501,12
526,12
551,14
576,14
601,15
626,15
651,16
676,17
701,17
726,18
751,18
776,19
801,20
826,20
851,21
876,22
901,22
926,23
951,23
976,24
1,0
2001,49
4001,99
6001,148
8001,196
1,0
1,0
26,0
51,2
76,2
101,2
126,3
151,4
176,4
201,6
226,5
251,7
276,6
301,8
326,8
351,9
376,9
401,11
426,10
451,12
476,12
501,12
526,13
551,14
576,15
601,15
626,15
651,17
676,17
701,17
726,19
751,19
776,19
801,20
826,21
851,21
876,22
901,23
926,23
951,23
976,25
1,0
26,1
51,1
76,2
1,0
26,0
51,0
76,1
101,0
126,0
151,0
176,1
201,0
226,1
251,0
276,1
301,1
326,0
351,1
376,1
