1,0
11,0
21,1
31,1
41,2
51,2
61,3
71,3
81,3
91,4
101,4
111,4
121,5
131,6
141,6
151,6
161,7
171,7
181,7
191,8
201,8
211,9
221,9
231,9
241,10
251,11
261,11
271,11
281,11
291,12
301,13
311,12
321,14
331,13
341,14
351,15
361,15
371,15
381,16
391,16
401,16
411,17
421,18
431,17
441,19
451,18
461,19
471,19
481,20
491,20
501,21
511,21
521,21
531,22
541,22
551,23
561,23
571,24
581,23
591,25
601,24
611,26
621,25
631,26
641,26
651,27
661,27
671,28
681,28
691,28
701,29
711,30
721,29
731,30
741,31
751,31
761,31
771,32
781,32
791,33
801,33
811,33
821,34
831,34
841,34
851,35
861,36
871,36
881,36
891,37
901,37
911,37
921,38
931,38
941,39
951,39
961,40
971,40
981,40
991,41
